Index,Value
2.206163225172074817e+03,4.515284278783294099e+02
2.207164208456243614e+03,4.517515942695700915e+02
2.208165191740412865e+03,4.519675849328186814e+02
2.209166175024582117e+03,4.521757475202655314e+02
2.210167158308751368e+03,4.523755085021701348e+02
2.211168141592920165e+03,4.525663789581211631e+02
2.212169124877089416e+03,4.527479595211960373e+02
2.213170108161258668e+03,4.529199444255174853e+02
2.214171091445427919e+03,4.530821246166817673e+02
2.215172074729596716e+03,4.532343898939126916e+02
2.216173058013765967e+03,4.533767300624916174e+02
2.217174041297935219e+03,4.535092350849210447e+02
2.218175024582104015e+03,4.536320942293036751e+02
2.219176007866273267e+03,4.537455942234572603e+02
2.220176991150442518e+03,4.538501164332407143e+02
2.221177974434611770e+03,4.539461330933351064e+02
2.222178957718780566e+03,4.540342026282091297e+02
2.223179941002949818e+03,4.541149641101081329e+02
2.224180924287119069e+03,4.541891309095436213e+02
2.225181907571288320e+03,4.542574836018463316e+02
2.226182890855457117e+03,4.543208622007921917e+02
2.227183874139626369e+03,4.543801577970484686e+02
2.228184857423795620e+03,4.544363036851437982e+02
2.229185840707964417e+03,4.544902660677909694e+02
2.230186823992133668e+03,4.545430344306160464e+02
2.231187807276302919e+03,4.545956116836534306e+02
2.232188790560472171e+03,4.546490041682976653e+02
2.233189773844640968e+03,4.547042116297498069e+02
2.234190757128810219e+03,4.547622172553443534e+02
2.235191740412979470e+03,4.548239778784806049e+02
2.236192723697148267e+03,4.548904144462246109e+02
2.237193706981317519e+03,4.549624028460096952e+02
2.238194690265486770e+03,4.550407651832679790e+02
2.239195673549656021e+03,4.551262615973092238e+02
2.240196656833824818e+03,4.552195826973770636e+02
2.241197640117994069e+03,4.553213426946037998e+02
2.242198623402163321e+03,4.554320732986151370e+02
2.243199606686332118e+03,4.555522184398856211e+02
2.244200589970501369e+03,4.556821298706744869e+02
2.245201573254670620e+03,4.558220636885792487e+02
2.246202556538839872e+03,4.559721778175054965e+02
2.247203539823008668e+03,4.561325304712668185e+02
2.248204523107177920e+03,4.563030796151934396e+02
2.249205506391347171e+03,4.564836834311326470e+02
2.250206489675516423e+03,4.566741017811841061e+02
2.251207472959685219e+03,4.568739986555085579e+02
2.252208456243854471e+03,4.570829455797039031e+02
2.253209439528023722e+03,4.573004259476269340e+02
2.254210422812192519e+03,4.575258402362833294e+02
2.255211406096361770e+03,4.577585120505732448e+02
2.256212389380531022e+03,4.579976949373681805e+02
